ticker,name,exchange,category name,country,,,
AI.PA,Air Liquide, société anonyme,PAR,Chemicals - Major Diversified,France,,,
CS.PA,AXA SA,PAR,Property & Casualty Insurance,France,,,
ALO.PA,Alstom SA,PAR,Diversified Machinery,France,,,
AC.PA,Accor SA,PAR,Lodging,France,,,
AF.PA,Air France-KLM SA,PAR,Major Airlines,France,,,
ALEHT.PA,Diaxonhit,PAR,Biotechnology,France,,,
SIPH.PA,Société Internationale de Plantations d'Hévéas Société Anonyme,PAR,Lumber, Wood Production,France,,,
CAFO.PA,Centrale d'Achat Française pour l'Outre-Mer Société Anonyme,PAR,Specialty Retail, Other,France,,,
RMS.PA,Hermès International Société en commandite par actions,PAR,Jewelry Stores,France,,,
PHM7.DE,Altria Group, Inc.,FRA,Tobacco Products, Other,France,,,
MLMAB.PA,Maison Antoine Baud Société Anonyme,PAR,REIT - Office,France,,,
CDA.PA,Compagnie des Alpes SA,PAR,Resorts & Casinos,France,,,
ATO.PA,Atos SE,PAR,Information Technology Services,France,,,
ATA.PA,Atari SA,PAR,Multimedia & Graphics Software,France,,,
ALT.PA,Altran Technologies S.A.,PAR,Information Technology Services,France,,,
ALMDG.PA,MGI Digital Technology Société Anonyme,PAR,Business Services,France,,,
ALAST.PA,Astellia S.A.,PAR,Technical & System Software,France,,,
ADP.PA,Aéroports de Paris SA,PAR,Air Services, Other,France,,,
ZC.PA,Zodiac Aerospace,PAR,Aerospace/Defense - Major Diversified,France,,,
XIL.PA,Xilam Animation,PAR,Entertainment - Diversified,France,,,
BNP.PA,BNP Paribas SA,PAR,Money Center Banks,France,,,
BN.PA,Danone,PAR,Food - Major Diversified,France,,,
BAIN.PA,Société Anonyme des Bains de Mer et du Cercle des Étrangers à Monaco,PAR,Resorts & Casinos,France,,,
EN.PA,Bouygues SA,PAR,General Contractors,France,,,
ML.PA,Compagnie Générale des Etablissements Michelin,PAR,Rubber & Plastics,France,,,
DSY.PA,Dassault Systèmes SE,PAR,Technical & System Software,France,,,
EDF.PA,Electricité de France S.A.,PAR,Diversified Utilities,France,,,
SMTPC.PA,Société Marseillaise du Tunnel Prado Carénage,PAR,Heavy Construction,France,,,
VOW3.F,Volkswagen Aktiengesellschaft,FRA,Auto Manufacturers - Major,France,,,
SOW.F,Software Aktiengesellschaft,FRA,Business Software & Services,France,,,
PUM.F,PUMA SE,FRA,Textile - Apparel Footwear & Accessories,France,,,
LHA.F,Deutsche Lufthansa Aktiengesellschaft,FRA,Major Airlines,France,,,
IFX.F,Infineon Technologies AG,FRA,Semiconductor - Broad Line,France,,,
HOT.F,HOCHTIEF Aktiengesellschaft,FRA,General Contractors,France,,,
FME.F,Fresenius Medical Care AG & Co. KGAA,FRA,Hospitals,France,,,
FDR.PA,Fonciere des Regions,PAR,REIT - Diversified,France,,,
EVT.F,Evotec AG,FRA,Drugs - Generic,France,,,
EUZ.F,Eckert & Ziegler Strahlen- und Medizintechnik AG,FRA,Medical Appliances & Equipment,France,,,
DVT.PA,Devoteam S.A.,PAR,Information Technology Services,France,,,
DPT.PA,S.T. Dupont S.A.,PAR,Textile - Apparel Clothing,France,,,
DGM.PA,Diagnostic Medical Systems S.A.,PAR,Medical Appliances & Equipment,France,,,
DBV.PA,DBV Technologies S.A.,PAR,Biotechnology,France,,,
CBSM.PA,SociÃ©tÃ© Centrale des Bois et des Scieries de la Manche S.A.,PAR,REIT - Diversified,France,,,
